=== Relatório de Comunidades ===
Peso mínimo considerado: 20
Resolução de Louvain: 1.5
Total de comunidades: 501
Modularidade: -0.0010

📈 Tamanho das comunidades (maior → menor):
 - Comunidade 289: 40 nós
 - Comunidade 441: 26 nós
 - Comunidade 452: 24 nós
 - Comunidade 158: 5 nós
 - Comunidade 312: 5 nós
 - Comunidade 324: 2 nós
 - Comunidade 0: 1 nós
 - Comunidade 1: 1 nós
 - Comunidade 2: 1 nós
 - Comunidade 3: 1 nós
 - Comunidade 4: 1 nós
 - Comunidade 5: 1 nós
 - Comunidade 6: 1 nós
 - Comunidade 7: 1 nós
 - Comunidade 8: 1 nós
 - Comunidade 9: 1 nós
 - Comunidade 10: 1 nós
 - Comunidade 11: 1 nós
 - Comunidade 12: 1 nós
 - Comunidade 13: 1 nós
 - Comunidade 14: 1 nós
 - Comunidade 15: 1 nós
 - Comunidade 17: 1 nós
 - Comunidade 18: 1 nós
 - Comunidade 19: 1 nós
 - Comunidade 20: 1 nós
 - Comunidade 21: 1 nós
 - Comunidade 22: 1 nós
 - Comunidade 23: 1 nós
 - Comunidade 24: 1 nós
 - Comunidade 25: 1 nós
 - Comunidade 26: 1 nós
 - Comunidade 27: 1 nós
 - Comunidade 28: 1 nós
 - Comunidade 29: 1 nós
 - Comunidade 30: 1 nós
 - Comunidade 31: 1 nós
 - Comunidade 32: 1 nós
 - Comunidade 33: 1 nós
 - Comunidade 34: 1 nós
 - Comunidade 35: 1 nós
 - Comunidade 36: 1 nós
 - Comunidade 37: 1 nós
 - Comunidade 39: 1 nós
 - Comunidade 40: 1 nós
 - Comunidade 41: 1 nós
 - Comunidade 42: 1 nós
 - Comunidade 43: 1 nós
 - Comunidade 44: 1 nós
 - Comunidade 45: 1 nós
 - Comunidade 46: 1 nós
 - Comunidade 47: 1 nós
 - Comunidade 48: 1 nós
 - Comunidade 49: 1 nós
 - Comunidade 50: 1 nós
 - Comunidade 51: 1 nós
 - Comunidade 52: 1 nós
 - Comunidade 53: 1 nós
 - Comunidade 54: 1 nós
 - Comunidade 55: 1 nós
 - Comunidade 56: 1 nós
 - Comunidade 57: 1 nós
 - Comunidade 58: 1 nós
 - Comunidade 59: 1 nós
 - Comunidade 60: 1 nós
 - Comunidade 61: 1 nós
 - Comunidade 62: 1 nós
 - Comunidade 63: 1 nós
 - Comunidade 64: 1 nós
 - Comunidade 65: 1 nós
 - Comunidade 66: 1 nós
 - Comunidade 67: 1 nós
 - Comunidade 68: 1 nós
 - Comunidade 69: 1 nós
 - Comunidade 70: 1 nós
 - Comunidade 71: 1 nós
 - Comunidade 72: 1 nós
 - Comunidade 73: 1 nós
 - Comunidade 218: 1 nós
 - Comunidade 75: 1 nós
 - Comunidade 76: 1 nós
 - Comunidade 77: 1 nós
 - Comunidade 79: 1 nós
 - Comunidade 80: 1 nós
 - Comunidade 81: 1 nós
 - Comunidade 82: 1 nós
 - Comunidade 83: 1 nós
 - Comunidade 84: 1 nós
 - Comunidade 85: 1 nós
 - Comunidade 86: 1 nós
 - Comunidade 87: 1 nós
 - Comunidade 88: 1 nós
 - Comunidade 89: 1 nós
 - Comunidade 90: 1 nós
 - Comunidade 91: 1 nós
 - Comunidade 92: 1 nós
 - Comunidade 93: 1 nós
 - Comunidade 94: 1 nós
 - Comunidade 95: 1 nós
 - Comunidade 96: 1 nós
 - Comunidade 424: 1 nós
 - Comunidade 99: 1 nós
 - Comunidade 100: 1 nós
 - Comunidade 101: 1 nós
 - Comunidade 103: 1 nós
 - Comunidade 500: 1 nós
 - Comunidade 105: 1 nós
 - Comunidade 106: 1 nós
 - Comunidade 107: 1 nós
 - Comunidade 108: 1 nós
 - Comunidade 109: 1 nós
 - Comunidade 110: 1 nós
 - Comunidade 111: 1 nós
 - Comunidade 112: 1 nós
 - Comunidade 113: 1 nós
 - Comunidade 114: 1 nós
 - Comunidade 115: 1 nós
 - Comunidade 116: 1 nós
 - Comunidade 117: 1 nós
 - Comunidade 118: 1 nós
 - Comunidade 119: 1 nós
 - Comunidade 120: 1 nós
 - Comunidade 121: 1 nós
 - Comunidade 122: 1 nós
 - Comunidade 123: 1 nós
 - Comunidade 124: 1 nós
 - Comunidade 125: 1 nós
 - Comunidade 127: 1 nós
 - Comunidade 128: 1 nós
 - Comunidade 129: 1 nós
 - Comunidade 130: 1 nós
 - Comunidade 131: 1 nós
 - Comunidade 132: 1 nós
 - Comunidade 133: 1 nós
 - Comunidade 134: 1 nós
 - Comunidade 203: 1 nós
 - Comunidade 136: 1 nós
 - Comunidade 137: 1 nós
 - Comunidade 138: 1 nós
 - Comunidade 139: 1 nós
 - Comunidade 140: 1 nós
 - Comunidade 141: 1 nós
 - Comunidade 142: 1 nós
 - Comunidade 143: 1 nós
 - Comunidade 144: 1 nós
 - Comunidade 145: 1 nós
 - Comunidade 146: 1 nós
 - Comunidade 147: 1 nós
 - Comunidade 148: 1 nós
 - Comunidade 149: 1 nós
 - Comunidade 150: 1 nós
 - Comunidade 457: 1 nós
 - Comunidade 152: 1 nós
 - Comunidade 153: 1 nós
 - Comunidade 154: 1 nós
 - Comunidade 155: 1 nós
 - Comunidade 156: 1 nós
 - Comunidade 157: 1 nós
 - Comunidade 159: 1 nós
 - Comunidade 160: 1 nós
 - Comunidade 162: 1 nós
 - Comunidade 163: 1 nós
 - Comunidade 164: 1 nós
 - Comunidade 165: 1 nós
 - Comunidade 166: 1 nós
 - Comunidade 167: 1 nós
 - Comunidade 168: 1 nós
 - Comunidade 169: 1 nós
 - Comunidade 170: 1 nós
 - Comunidade 171: 1 nós
 - Comunidade 172: 1 nós
 - Comunidade 173: 1 nós
 - Comunidade 174: 1 nós
